"* Required Fields","* Bitte ergänze diese Informationen"
"<strong style=""color:red"">Important!</strong> Enabling this option means
                            that your custom templates used in checkout process contain form_key output.
                            Otherwise checkout may not work.","<strong style=""color:red"">Wichtig!</strong> Wenn Du diese Option aktivierst, enthalten deine benutzer&shy;definierten Vorlagen, die im Bestell&shy;vorgang verwendet werden, die Ausgabe form_key. Andernfalls funktioniert der Bezahl&shy;vorgang möglich&shy;er&shy;weise nicht."
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Soll die Seite wirklich verlassen werden? Du wirdst erneut durch den Bestellvorgang gehen müssen."
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus deinem Warenkorb entfernt werden?"
"Based on your selection, you may be interested in the following items:","Ausgehend von deiner Auswahl könntest du auch an den folgenden Artikeln interessiert sein:"
"Checkout Method","Wie möchtest du zur Kasse gehen?"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klicke <a href=""%s"">hier</a>, um deine Bestellbestätigung auszudrucken."
"Click <a href=""%s"">here</a> to continue shopping.","Klicke <a href=""%s"">hier</a>, um den Einkauf fortzusetzen."
"Easy access to your order history and status","Einfacher Zugriff auf deine bisherigen Bestellungen und deren Status"
"Enter your coupon code if you have one.","Wenn du einen Rabattcode besitzt, gib diesen bitte hier ein."
"Enter your destination to get a shipping estimate.","Gib deinen Zielort ein, um die geschätzten Versandkosten anzuzeigen."
"Login/Registration Before","Bitte melde dich an oder registrieren dich"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","Der Gesamtbetrag der Bestellung wird dir noch einmal angezeigt, bevor du die Bestellung aufgibst."
"Other Items in Your Order","Andere Artikel in deiner Bestellung"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptiere unsere Bedingungen, bevor du deine Bestellung abschliesst."
"Please agree to all Terms and Conditions before placing the orders.","Bitte akzeptiere unsere Bedingungen, bevor du deine Bestellung abschliesst."
"Please agree to all the terms and conditions before placing the order.","Bitte akzeptiere unsere Bedingungen, bevor du deine Bestellung abschliesst."
"Please check billing address information.","Bitte prüfe die Rechnungsadresse."
"Please check shipping address information.","Bitte prüfe die Versandanschrift."
"Please check shipping addresses information.","Bitte prüfe die Versandanschriften."
"Please choose to register or to checkout as a guest","Bitte registriere dich, oder gehen als Gast zur Kasse."
"Please log in below:","Bitte melde dich hier an:"
"Please select region, state or province","Bitte wählen deine Region, Land oder Kanton."
"Please select shipping address for applicable items","Bitte wähle die Lieferadresse für die entsprechenden Artikel."
"Please select shipping methods for all addresses","Bitte wähle die Versandarten für alle Adressen."
"Please select valid payment method.","Bitte wähle eine gültige Zahlungsart."
"Please specify payment method.","Bitte wähle eine Zahlungsart."
"Please specify shipping method.","Bitte wähle eine Versandart."
"Please specify shipping methods for all addresses.","Bitte wähle die Versandarten für alle Adressen."
"Register to Create an Account","Registriere dich, um dein Benutzerkonto anzulegen."
"Register with us for future convenience:","Registrieren dich für mehr Komfort bei deinem nächsten Besuch:"
"See price before order confirmation.","Bitte achte vor der Bestellbestätigung auf den Preis."
"Select a billing address from your address book or enter a new address.","Wähle eine Rechnungsadresse aus deinem Adressbuch oder lege eine neue Adresse an."
"Select a shipping address from your address book or enter a new address.","Wähle eine Lieferadresse aus deinem Adressbuch oder lege eine neue Adresse an."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Entschuldige, aber ein Bezahlvorgang als Gast ist nicht möglich. Bitte versuche es zu einem späteren Zeitpunkt erneut oder nimm direkt Kontakt mit uns auf."
"Sorry, no quotes are available for this order at this time.","Entschuldigung, für diese Bestellungen stehen keine Auswahloptionen zur Verfügung. Bitte nimm direkt Kontakt mit uns auf!"
"Subtotal must exceed minimum order amount","Bitte beachte die Mindestbestellsumme."
"Thank you for your purchase!","Vielen Dank für deine Bestellung!"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Mit dieser E-Mail-Adresse ist bereits ein Kundenkonto registriert worden. Bitte melde dich mit dieser E-Mail-Adresse an oder erstelle mit einer anderen E-Mail-Adresse ein neues Kundenkonto."
"There was an error processing your order. Please contact us or try again later.","Bei der Bearbeitung deiner Bestellung ist ein Fehler aufgetreten. Kontaktiere uns oder probiere es bitte später erneut."
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zur Zeit bearbeiten wir deine Bestellung. Du wirdst bald eine E-Mail mit Details zu deiner Bestellung erhalten.<br/>Nach erfolgtem Versand erhältst du eine weitere E-Mail mit einem Link zur Sendungsverfolgung."
"You have no items in your shopping cart.","Du hast keine Artikel im Warenkorb."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du erhältst eine Bestellbestätigung per E-Mail mit weiteren Informationen und einem Link, um die Bestellung weiterverfolgen zu können."
"Your Checkout Progress","Dein Bestellfortschritt"
"Your billing agreement # is: %s.","Die Nummer deiner Zahlungsvereinbarung lautet: %s."
"Your order # is: %s.","Deine Bestellnummer lautet %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Deine Bestellung kann momentan nicht abgeschlossen werden, da keine Bezahlmethoden dafür verfügbar sind."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Deine Bestellung kann momentan nicht abgeschlossen werden, da keine Versandarten dafür verfügbar sind."
"Your order has been received.","Wir haben deine Bestellung erhalten."
"Your order number is ","Deine Bestellnummer lautet "
"Your recurring payment profiles:","Deine wiederkehrenden Zahlungen:"
